time,open,high,low,close,Kalman Filter,Upper Band,Lower Band,Plot,Plot,Anomaly,KMEMA RSI,KMEMA Momentum,KMEMA Volatility,RSI Feature,Momentum Feature,Volatility Feature,Mahalanobis Distance
1772557200,0.9138,0.9152,0.9002,0.9054,0.9079106732892164,1.4051164611677949,0.41070488541063793,1.4051164611677949,0.41070488541063793,,0.9054620970016626,0.9066127406996626,0.9067923447153708,0.03266470964350532,1.1229389578733773,0.3616673787158432,0
1772558100,0.9054,0.9108,0.9025,0.9091,0.9086457176202087,1.4058515054987872,0.41143992974163024,1.4058515054987872,0.41143992974163024,,0.9055798018653957,0.9077932972526351,0.9068825571505841,0.07638928619507666,1.4795756220507608,0.31606673037375993,0
1772559000,0.909,0.9101,0.9012,0.9095,0.9091736931669099,1.4063794810454884,0.41196790528833144,1.4063794810454884,0.41196790528833144,,0.9056919427883832,0.9087871514697962,0.9069395718864125,0.08122433668885903,1.40059749293315,0.27876350229802693,0
1772559900,0.9094,0.916,0.9072,0.9143,0.9123419250265205,1.4095477129050988,0.41513613714794195,1.4095477129050988,0.41513613714794195,,0.9051113514206807,0.9103208055447578,0.9061716298615947,0.13944242155005113,3.2249204449935354,0.24241518259972755,0
1772560800,0.9143,0.9166,0.9074,0.9096,0.9106473221655268,1.4078531100441052,0.41344153428694835,1.4078531100441052,0.41344153428694835,,0.9051753547700641,0.9109137868568514,0.906177504795857,0.06807631249965994,1.3622609501916232,0.21317542717984786,0
1772561700,0.9096,0.9216,0.9096,0.9175,0.9148825099811843,1.4120882978597629,0.41767672210260576,1.4120882978597629,0.41767672210260576,,0.9053524444420961,0.9123084496682293,0.9061748920327432,0.16297338583217852,2.387404225075556,0.20057039767054297,0
1772562600,0.9174,0.9233,0.915,0.916,0.9155731567949011,1.4127789446734795,0.4183673689163227,1.4127789446734795,0.4183673689163227,,0.9054811335579819,0.9116875495167098,0.906151077071364,0.13925194320497566,0.145017684097186,0.16618825386546987,0
1772563500,0.9159,0.9174,0.9118,0.9135,0.9142918754316445,1.411497663310223,0.417086087553066,1.411497663310223,0.417086087553066,,0.9055467317793582,0.9101604812810283,0.9061000172111332,0.09901648416278874,-1.0157179960171034,0.11883981497761399,0
1772564400,0.9135,0.915,0.9076,0.9108,0.9121337777304075,1.409339565608986,0.41492798985182905,1.409339565608986,0.41492798985182905,,0.9055515312925903,0.9102592317066022,0.9060332558299832,0.05565351425604988,0.7505367896479168,0.08570236585014171,0
1772565300,0.9108,0.9167,0.9091,0.913,0.9126691325348277,1.4098749204134062,0.41546334465624923,1.4098749204134062,0.41546334465624923,,0.9055953112464221,0.9096612257596148,0.9059550994933727,0.08725502629200889,-0.07398155401769813,0.05647200451715215,0
1772566200,0.913,0.9165,0.9067,0.913,0.9128736198740758,1.4100794077526542,0.41566783199549734,1.4100794077526542,0.41566783199549734,,0.9056346877350635,0.9098717957534442,0.9058768478144347,0.08725502629200889,0.8252659016720644,0.04372561138667832,0
1772567100,0.913,0.9136,0.9088,0.9094,0.9107268047278998,1.4079325926064783,0.4135210168493213,1.4079325926064783,0.4135210168493213,,0.9055889237330683,0.9094009084272402,0.9057832434686607,0.022329346067023293,0.03360786074935986,0.007070996672772928,0
1772568000,0.9094,0.9103,0.906,0.906,0.9078054787478741,1.4050112666264525,0.41059969086929565,1.4050112666264525,0.41059969086929565,,0.9054742920006924,0.9086219046648416,0.9056764264286179,-0.03620755174714688,-0.3908166056007165,-0.028810917501573285,0
1772568900,0.9059,0.9091,0.9058,0.9068,0.9071840587067223,1.4043898465853006,0.40997827082814375,1.4043898465853006,0.40997827082814375,,0.9053900835318855,0.9073906220269334,0.905557615399054,-0.02138832583589448,-1.0310400999904459,-0.06577908281441333,0
1772569800,0.9068,0.9107,0.9047,0.9077,0.9075029279621675,1.4047087158407459,0.41029714008358903,1.4047087158407459,0.41029714008358903,,0.9053360640738942,0.9069115793883481,0.90543976972728,-0.003992445307384571,-0.2761146703549379,-0.08336840677140964,0
