Date,Message
2025-09-04T03:45:00.000+03:00,"LONGEVAL,bar=291,entryCtx=1000,z0=-1.584,mr=-1.813,vec=0.027,basket=27.79,burst=-0.000413,te=NaN,innW=3.3394,innWmed=0.9198,innRatio=3.631,knn=NaN,phiTotal=-0.073,triggered=0"
2025-09-04T04:00:00.000+03:00,"LONGEVAL,bar=292,entryCtx=1000,z0=-1.779,mr=-1.825,vec=-0.162,basket=29.45,burst=-0.000153,te=NaN,innW=3.4547,innWmed=0.9198,innRatio=3.756,knn=NaN,phiTotal=-0.071,triggered=0"
2025-09-04T04:15:00.000+03:00,"LONGEVAL,bar=293,entryCtx=1000,z0=-1.643,mr=-1.774,vec=-0.172,basket=29.38,burst=-0.00021,te=NaN,innW=3.5616,innWmed=0.9198,innRatio=3.872,knn=NaN,phiTotal=-0.067,triggered=0"
2025-09-04T04:30:00.000+03:00,"LONGEVAL,bar=294,entryCtx=1000,z0=-1.588,mr=-1.733,vec=-0.141,basket=28.89,burst=-0.000296,te=NaN,innW=3.6308,innWmed=0.9198,innRatio=3.948,knn=NaN,phiTotal=-0.065,triggered=0"
2025-09-04T04:45:00.000+03:00,"LONGEVAL,bar=295,entryCtx=1000,z0=-1.664,mr=-1.763,vec=-0.122,basket=29.52,burst=-0.000218,te=NaN,innW=3.7013,innWmed=0.9198,innRatio=4.024,knn=NaN,phiTotal=-0.063,triggered=0"
2025-09-04T05:00:00.000+03:00,"LONGEVAL,bar=296,entryCtx=1000,z0=-1.731,mr=-1.861,vec=-0.212,basket=28.15,burst=-0.000424,te=NaN,innW=3.7729,innWmed=0.9198,innRatio=4.102,knn=NaN,phiTotal=-0.063,triggered=0"
2025-09-04T05:15:00.000+03:00,"LONGEVAL,bar=297,entryCtx=1000,z0=-1.825,mr=-1.949,vec=-0.437,basket=29.73,burst=-0.000907,te=NaN,innW=3.8603,innWmed=0.9198,innRatio=4.197,knn=NaN,phiTotal=-0.061,triggered=0"
2025-09-04T05:30:00.000+03:00,"LONGEVAL,bar=298,entryCtx=1000,z0=-1.809,mr=-2.037,vec=-0.517,basket=29.45,burst=-0.0012,te=NaN,innW=3.9229,innWmed=1.006,innRatio=3.9,knn=NaN,phiTotal=-0.062,triggered=0"
2025-09-04T05:45:00.000+03:00,"LONGEVAL,bar=299,entryCtx=1000,z0=-1.729,mr=-2.074,vec=-0.594,basket=30.07,burst=-0.001477,te=NaN,innW=3.9536,innWmed=1.1811,innRatio=3.347,knn=NaN,phiTotal=-0.062,triggered=0"
2025-09-04T06:00:00.000+03:00,"LONGEVAL,bar=300,entryCtx=1000,z0=-1.832,mr=-2.124,vec=-0.694,basket=29.59,burst=-0.001158,te=NaN,innW=3.9926,innWmed=1.3517,innRatio=2.954,knn=NaN,phiTotal=-0.061,triggered=0"
